Dataset,Seed,FeatureGroup,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
KC1,0,规模度量,0.7853995803929048,0.061224489795918366,0.6666666666666666,9.0,0.11224489795918367,0.5789473684210527,19.0,0.20408163265306123,0.5714285714285714,35.0
KC1,1,规模度量,0.772887659736792,0.05102040816326531,0.5555555555555556,9.0,0.11224489795918367,0.55,20.0,0.19387755102040816,0.5135135135135135,37.0
KC1,2,规模度量,0.7995041007057029,0.061224489795918366,0.6666666666666666,9.0,0.11224489795918367,0.55,20.0,0.21428571428571427,0.6,35.0
KC1,3,规模度量,0.8000476826244517,0.061224489795918366,0.6,10.0,0.11224489795918367,0.5238095238095238,21.0,0.21428571428571427,0.5833333333333334,36.0
KC1,4,规模度量,0.7751859622353614,0.05102040816326531,0.625,8.0,0.10204081632653061,0.5,20.0,0.17346938775510204,0.4857142857142857,35.0
KC1,5,规模度量,0.8294011062368872,0.061224489795918366,0.6666666666666666,9.0,0.11224489795918367,0.55,20.0,0.19387755102040816,0.5757575757575758,33.0
KC1,6,规模度量,0.7791722296395194,0.05102040816326531,0.5555555555555556,9.0,0.11224489795918367,0.55,20.0,0.1836734693877551,0.4864864864864865,37.0
KC1,7,规模度量,0.7798588594316231,0.061224489795918366,0.75,8.0,0.10204081632653061,0.5555555555555556,18.0,0.20408163265306123,0.5882352941176471,34.0
KC1,8,规模度量,0.7736982643524699,0.05102040816326531,0.45454545454545453,11.0,0.11224489795918367,0.4583333333333333,24.0,0.17346938775510204,0.4146341463414634,41.0
KC1,9,规模度量,0.797339309555598,0.07142857142857142,0.6363636363636364,11.0,0.14285714285714285,0.6363636363636364,22.0,0.22448979591836735,0.5789473684210527,38.0
KC1,0,控制复杂度,0.7102231546824337,0.061224489795918366,0.5454545454545454,11.0,0.11224489795918367,0.4782608695652174,23.0,0.1836734693877551,0.5294117647058824,34.0
KC1,1,控制复杂度,0.7275796299828342,0.061224489795918366,0.5454545454545454,11.0,0.12244897959183673,0.48,25.0,0.19387755102040816,0.4634146341463415,41.0
KC1,2,控制复杂度,0.7533473202365059,0.05102040816326531,0.5,10.0,0.1326530612244898,0.5909090909090909,22.0,0.23469387755102042,0.5609756097560976,41.0
KC1,3,控制复杂度,0.7489986648865153,0.04081632653061224,0.36363636363636365,11.0,0.12244897959183673,0.48,25.0,0.19387755102040816,0.4523809523809524,42.0
KC1,4,控制复杂度,0.6984169368682053,0.04081632653061224,0.36363636363636365,11.0,0.10204081632653061,0.4,25.0,0.17346938775510204,0.4146341463414634,41.0
KC1,5,控制复杂度,0.7733930955559793,0.04081632653061224,0.4,10.0,0.11224489795918367,0.4782608695652174,23.0,0.1836734693877551,0.5,36.0
KC1,6,控制复杂度,0.7170322334541294,0.05102040816326531,0.4166666666666667,12.0,0.1326530612244898,0.5416666666666666,24.0,0.1836734693877551,0.46153846153846156,39.0
KC1,7,控制复杂度,0.7174136944497426,0.061224489795918366,0.5454545454545454,11.0,0.12244897959183673,0.5217391304347826,23.0,0.1836734693877551,0.46153846153846156,39.0
KC1,8,控制复杂度,0.7049971390425329,0.04081632653061224,0.36363636363636365,11.0,0.10204081632653061,0.35714285714285715,28.0,0.15306122448979592,0.3191489361702128,47.0
KC1,9,控制复杂度,0.7512111386610719,0.05102040816326531,0.45454545454545453,11.0,0.12244897959183673,0.5454545454545454,22.0,0.20408163265306123,0.5128205128205128,39.0
KC1,0,Halstead度量,0.799103566660309,0.07142857142857142,0.5833333333333334,12.0,0.16326530612244897,0.6666666666666666,24.0,0.22448979591836735,0.5641025641025641,39.0
KC1,1,Halstead度量,0.7498760251764257,0.061224489795918366,0.4,15.0,0.12244897959183673,0.41379310344827586,29.0,0.17346938775510204,0.40476190476190477,42.0
KC1,2,Halstead度量,0.8052641617394621,0.10204081632653061,0.5882352941176471,17.0,0.22448979591836735,0.6470588235294118,34.0,0.30612244897959184,0.6,50.0
KC1,3,Halstead度量,0.8250715239366775,0.10204081632653061,0.7142857142857143,14.0,0.20408163265306123,0.7407407407407407,27.0,0.24489795918367346,0.5581395348837209,43.0
KC1,4,Halstead度量,0.7672611100514972,0.10204081632653061,0.5555555555555556,18.0,0.1836734693877551,0.5625,32.0,0.23469387755102042,0.5111111111111111,45.0
KC1,5,Halstead度量,0.8245565515925997,0.07142857142857142,0.5,14.0,0.1326530612244898,0.5,26.0,0.20408163265306123,0.5555555555555556,36.0
KC1,6,Halstead度量,0.7947167652107572,0.08163265306122448,0.5714285714285714,14.0,0.14285714285714285,0.6086956521739131,23.0,0.19387755102040816,0.4634146341463415,41.0
KC1,7,Halstead度量,0.7707419416364677,0.08163265306122448,0.5714285714285714,14.0,0.16326530612244897,0.64,25.0,0.21428571428571427,0.5675675675675675,37.0
KC1,8,Halstead度量,0.7650486362769406,0.09183673469387756,0.6428571428571429,14.0,0.16326530612244897,0.5161290322580645,31.0,0.20408163265306123,0.43478260869565216,46.0
KC1,9,Halstead度量,0.8029658592408926,0.08163265306122448,0.5714285714285714,14.0,0.19387755102040816,0.7916666666666666,24.0,0.2755102040816326,0.7105263157894737,38.0
KC1,0,全部度量,0.7959946595460614,0.09183673469387756,0.9,10.0,0.16326530612244897,0.6666666666666666,24.0,0.2653061224489796,0.6190476190476191,42.0
KC1,1,全部度量,0.7561701316040434,0.07142857142857142,0.4666666666666667,15.0,0.14285714285714285,0.4375,32.0,0.20408163265306123,0.38461538461538464,52.0
KC1,2,全部度量,0.8141998855617013,0.11224489795918367,0.7857142857142857,14.0,0.21428571428571427,0.5833333333333334,36.0,0.336734693877551,0.6470588235294118,51.0
KC1,3,全部度量,0.8317661644096891,0.1326530612244898,0.8666666666666667,15.0,0.1836734693877551,0.72,25.0,0.2755102040816326,0.6136363636363636,44.0
KC1,4,全部度量,0.7777226778561892,0.09183673469387756,0.5294117647058824,17.0,0.1836734693877551,0.5142857142857142,35.0,0.2755102040816326,0.5510204081632653,49.0
KC1,5,全部度量,0.8362197215334732,0.10204081632653061,0.7692307692307693,13.0,0.1836734693877551,0.782608695652174,23.0,0.25510204081632654,0.625,40.0
KC1,6,全部度量,0.8034522220102994,0.08163265306122448,0.6153846153846154,13.0,0.16326530612244897,0.5714285714285714,28.0,0.23469387755102042,0.5111111111111111,45.0
KC1,7,全部度量,0.7815086782376502,0.08163265306122448,0.6666666666666666,12.0,0.14285714285714285,0.5833333333333334,24.0,0.24489795918367346,0.6,40.0
KC1,8,全部度量,0.7766736601182529,0.11224489795918367,0.6875,16.0,0.17346938775510204,0.5151515151515151,33.0,0.2755102040816326,0.5,54.0
KC1,9,全部度量,0.7976444783520885,0.10204081632653061,0.5882352941176471,17.0,0.21428571428571427,0.7777777777777778,27.0,0.32653061224489793,0.6666666666666666,48.0
JM1,0,规模度量,0.730461503897427,0.0189873417721519,0.5714285714285714,21.0,0.06487341772151899,0.5616438356164384,73.0,0.14082278481012658,0.5741935483870968,155.0
JM1,1,规模度量,0.7234956340167046,0.0189873417721519,0.75,16.0,0.056962025316455694,0.5901639344262295,61.0,0.12341772151898735,0.5735294117647058,136.0
