Dataset,Seed,Model,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
KC1,0,LOC排序基线,0.7860480640854473,0.07142857142857142,0.875,8.0,0.12244897959183673,0.631578947368421,19.0,0.1836734693877551,0.5294117647058824,34.0
KC1,0,复杂度加权,0.7736505817280183,0.04081632653061224,0.36363636363636365,11.0,0.11224489795918367,0.5238095238095238,21.0,0.20408163265306123,0.5,40.0
KC1,0,GaussianNB,0.7761205416746138,0.08163265306122448,0.6666666666666666,12.0,0.1326530612244898,0.5909090909090909,22.0,0.20408163265306123,0.5405405405405406,37.0
KC1,0,平衡Logistic,0.7795727636849132,0.08163265306122448,0.6666666666666666,12.0,0.20408163265306123,0.6896551724137931,29.0,0.25510204081632654,0.5434782608695652,46.0
KC1,1,LOC排序基线,0.7753671562082777,0.08163265306122448,0.8888888888888888,9.0,0.16326530612244897,0.8,20.0,0.21428571428571427,0.5833333333333334,36.0
KC1,1,复杂度加权,0.7800972725538814,0.07142857142857142,0.5833333333333334,12.0,0.15306122448979592,0.6,25.0,0.25510204081632654,0.5952380952380952,42.0
KC1,1,GaussianNB,0.7885180240320427,0.12244897959183673,0.8571428571428571,14.0,0.20408163265306123,0.7142857142857143,28.0,0.29591836734693877,0.7435897435897436,39.0
KC1,1,平衡Logistic,0.7988079343887088,0.10204081632653061,0.7142857142857143,14.0,0.19387755102040816,0.7037037037037037,27.0,0.2857142857142857,0.6222222222222222,45.0
KC1,2,LOC排序基线,0.7874022506198741,0.02040816326530612,0.25,8.0,0.11224489795918367,0.5789473684210527,19.0,0.17346938775510204,0.4857142857142857,35.0
KC1,2,复杂度加权,0.7827961090978447,0.030612244897959183,0.2727272727272727,11.0,0.10204081632653061,0.43478260869565216,23.0,0.19387755102040816,0.5,38.0
KC1,2,GaussianNB,0.7834159832157161,0.08163265306122448,0.5333333333333333,15.0,0.12244897959183673,0.5714285714285714,21.0,0.20408163265306123,0.4878048780487805,41.0
KC1,2,平衡Logistic,0.7972725538813656,0.07142857142857142,0.4666666666666667,15.0,0.21428571428571427,0.6774193548387096,31.0,0.2653061224489796,0.5306122448979592,49.0
KC1,3,LOC排序基线,0.8075338546633607,0.05102040816326531,0.625,8.0,0.09183673469387756,0.5,18.0,0.20408163265306123,0.6060606060606061,33.0
