Dataset,Feature,Correlation,AbsCorrelation
JM1,loc,0.24538767829822977,0.24538767829822977
JM1,branchCount,0.22248565967582573,0.22248565967582573
JM1,uniq_Opnd,0.21172164701961724,0.21172164701961724
JM1,v(g),0.2086437838514679,0.2086437838514679
JM1,n,0.2041430604437282,0.2041430604437282
JM1,total_Opnd,0.2035706825545209,0.2035706825545209
KC1,d,0.3874934221711045,0.3874934221711045
KC1,uniq_Opnd,0.3867139026914232,0.3867139026914232
KC1,uniq_Op,0.3855661437582139,0.3855661437582139
KC1,total_Opnd,0.36254892527834043,0.36254892527834043
KC1,n,0.35510059525952287,0.35510059525952287
KC1,total_Op,0.3487850160985183,0.3487850160985183
PC1,uniq_Opnd,0.2829620897259039,0.2829620897259039
PC1,lOBlank,0.27050238895911455,0.27050238895911455
PC1,loc,0.2675597721103772,0.2675597721103772
PC1,lOComment,0.26533942385832676,0.26533942385832676
PC1,lOCode,0.25787313266976974,0.25787313266976974
PC1,locCodeAndComment,0.23470938584884626,0.23470938584884626
